Ticker,Date,Quarter,Stock Price Change,URL,Report_Text
LAW,2024-11-06,Q3 2024,-0.8414346557171591,https://www.fool.com/earnings/call-transcripts/2024/11/06/cs-disco-law-q3-2024-earnings-call-transcript/,output_LAW_2024-11-06.txt
LAW,2024-08-08,Q2 2024,1.0447432441873752,https://www.fool.com/earnings/call-transcripts/2024/08/08/cs-disco-law-q2-2024-earnings-call-transcript/,output_LAW_2024-08-08.txt
BYND,2024-11-06,Q3 2024,-15.173693935375514,https://www.fool.com/earnings/call-transcripts/2024/11/06/beyond-meat-bynd-q3-2024-earnings-call-transcript/,output_BYND_2024-11-06.txt
PTC,2024-11-06,Q4 2024,2.0075282692794727,https://www.fool.com/earnings/call-transcripts/2024/11/06/ptc-ptc-q4-2024-earnings-call-transcript/,output_PTC_2024-11-06.txt
MCK,2024-11-06,Q2 2025,-3.3596719726550957,https://www.fool.com/earnings/call-transcripts/2024/11/06/mckesson-mck-q2-2025-earnings-call-transcript/,output_MCK_2024-11-06.txt
HUBS,2024-11-06,Q3 2024,7.431094263058638,https://www.fool.com/earnings/call-transcripts/2024/11/06/hubspot-hubs-q3-2024-earnings-call-transcript/,output_HUBS_2024-11-06.txt
APP,2024-11-06,Q3 2024,38.66240927592195,https://www.fool.com/earnings/call-transcripts/2024/11/06/applovin-app-q3-2024-earnings-call-transcript/,output_APP_2024-11-06.txt
GILD,2024-11-06,Q3 2024,-6.561446840799089,https://www.fool.com/earnings/call-transcripts/2024/11/06/gilead-sciences-gild-q3-2024-earnings-call-transcr/,output_GILD_2024-11-06.txt
COHR,2024-11-06,Q1 2025,4.765411203688275,https://www.fool.com/earnings/call-transcripts/2024/11/06/coherent-cohr-q1-2025-earnings-call-transcript/,output_COHR_2024-11-06.txt
DV,2024-11-06,Q3 2024,1.1201236585542778,https://www.fool.com/earnings/call-transcripts/2024/11/06/doubleverify-dv-q3-2024-earnings-call-transcript/,output_DV_2024-11-06.txt
ET,2024-11-06,Q3 2024,10.205481387859244,https://www.fool.com/earnings/call-transcripts/2024/11/06/energy-transfer-et-q3-2024-earnings-call-transcrip/,output_ET_2024-11-06.txt
BROS,2024-11-06,Q3 2024,12.320087367586282,https://www.fool.com/earnings/call-transcripts/2024/11/06/dutch-bros-bros-q3-2024-earnings-call-transcript/,output_BROS_2024-11-06.txt
MELI,2024-11-06,Q3 2024,-2.224301188801726,https://www.fool.com/earnings/call-transcripts/2024/11/06/mercadolibre-meli-q3-2024-earnings-call-transcript/,output_MELI_2024-11-06.txt
ARM,2024-11-06,Q2 2025,-2.2686855422514776,https://www.fool.com/earnings/call-transcripts/2024/11/06/arm-holdings-arm-q2-2025-earnings-call-transcript/,output_ARM_2024-11-06.txt
DKL,2024-11-06,Q3 2024,1.4297147463117423,https://www.fool.com/earnings/call-transcripts/2024/11/06/delek-logistics-partners-dkl-q3-2024-earnings-call/,output_DKL_2024-11-06.txt
DKL,2023-11-07,Q3 2023,-2.8007105235227394,https://www.fool.com/earnings/call-transcripts/2023/11/07/delek-logistics-partners-dkl-q3-2023-earnings-call/,output_DKL_2023-11-07.txt
